Close,ClassificationValue
48.849998,1
48.610001,1
47.93,-1
48.310001,1
48.02,1
47.950001,-1
47.959999,1
47.93,1
47.740002,1
47.57,-1
47.759998,1
47.650002,1
47.259998,1
47.09,-1
47.490002,-1
47.990002,-1
48.380001,1
48.16,-1
48.169998,-1
48.34,-1
48.509998,1
48.220001,1
48.02,1
47.939999,1
47.16,1
47.119999,1
46.860001,1
46.369999,1
46.049999,-1
46.610001,1
46.389999,1
45.990002,1
45.259998,1
45.02,1
44.599998,-1
44.619999,1
44.099998,-1
45.110001,-1
45.200001,-1
45.580002,-1
45.849998,-1
45.860001,1
45.630001,-1
45.990002,1
45.139999,-1
45.709999,-1
46.360001,-1
46.419998,1
46.310001,-1
46.369999,1
46.169998,-1
46.220001,-1
46.41,-1
46.73,1
46.59,1
46.41,-1
46.720001,-1
47.07,-1
47.130001,1
46.970001,1
46.93,-1
47.32,-1
47.799999,-1
48.040001,-1
48.25,-1
48.540001,-1
48.689999,1
48.580002,-1
48.720001,-1
49.139999,-1
49.310001,1
49.299999,-1
49.32,-1
49.349998,1
49.330002,1
49.330002,-1
49.439999,-1
49.48,1
49.080002,1
49.0,-1
49.389999,-1
49.619999,-1
49.639999,1
49.639999,1
48.959999,-1
49.16,-1
49.360001,1
49.32,1
49.09,1
48.580002,1
48.0,-1
48.990002,1
48.880001,1
48.82,1
48.25,1
47.889999,1
47.419998,-1
48.0,1
47.950001,1
47.66,1
47.57,1
47.360001,1
46.939999,-1
47.509998,-1
47.889999,-1
48.02,-1
48.099998,1
47.810001,1
47.560001,1
47.380001,1
47.049999,1
46.09,-1
47.209999,1
47.099998,1
46.790001,1
46.240002,1
46.209999,-1
46.580002,1
46.400002,1
45.75,-1
45.82,1
45.599998,1
45.349998,1
44.700001,-1
45.52,-1
46.279999,-1
46.290001,-1
46.450001,1
46.43,1
46.200001,-1
46.84,1
46.810001,-1
47.0,1
46.860001,1
46.619999,1
46.259998,-1
46.34,1
46.240002,1
46.23,1
46.119999,1
45.93,1
45.849998,-1
46.27,-1
46.400002,1
46.369999,1
45.580002,-1
46.52,-1
46.98,-1
47.599998,1
47.110001,1
46.73,1
46.34,-1
46.490002,1
46.27,1
46.009998,1
45.720001,-1
45.740002,1
45.290001,1
44.889999,1
44.669998,-1
45.139999,1
44.869999,-1
44.91,1
44.43,1
44.380001,-1
45.080002,-1
45.98,1
45.84,-1
46.389999,-1
46.810001,-1
47.040001,1
46.799999,1
46.48,1
46.130001,-1
46.5,-1
46.540001,1
46.540001,1
46.540001,1
46.43,1
46.07,-1
46.369999,-1
46.389999,1
46.349998,-1
46.560001,-1
46.669998,1
46.200001,-1
46.599998,-1
46.66,1
46.419998,1
46.25,1
46.16,-1
46.27,1
46.18,1
45.860001,1
45.18,-1
45.23,1
45.220001,1
44.639999,1
44.400002,-1
44.529999,-1
44.869999,-1
45.029999,1
44.82,1
44.490002,-1
44.709999,-1
44.91,1
44.720001,1
44.619999,1
44.529999,1
43.889999,1
43.82,1
43.619999,1
43.32,1
42.57,1
42.389999,-1
43.040001,1
42.990002,-1
43.509998,1
43.459999,-1
43.490002,-1
43.630001,1
43.48,1
43.380001,-1
43.450001,1
43.41,1
43.259998,-1
43.740002,-1
44.060001,-1
44.220001,-1
44.23,1
44.209999,1
44.07,1
43.779999,1
43.75,-1
44.040001,-1
44.07,1
44.049999,1
43.849998,-1
44.040001,-1
44.099998,-1
44.110001,1
44.060001,1
43.880001,-1
43.91,-1
44.09,-1
44.18,1
44.110001,-1
44.139999,-1
44.419998,-1
44.540001,1
44.439999,-1
44.490002,1
44.389999,-1
44.790001,-1
44.98,1
44.98,1
44.98,1
44.950001,-1
45.02,-1
45.080002,-1
45.41,-1
45.48,-1
45.650002,-1
45.720001,1
45.560001,1
45.5,-1
45.73,-1
45.740002,-1
46.02,-1
46.389999,1
46.34,1
46.27,1
46.130001,-1
46.310001,-1
46.360001,-1
46.59,-1
46.880001,1
46.669998,-1
46.830002,-1
47.02,-1
47.150002,-1
47.349998,1
47.330002,1
47.139999,-1
47.150002,-1
47.209999,1
46.779999,1
46.689999,-1
47.110001,-1
47.43,1
47.369999,1
47.279999,1
47.27,-1
47.799999,-1
47.849998,-1
47.900002,-1
47.939999,-1
48.049999,-1
48.139999,-1
48.150002,-1
48.240002,1
48.040001,1
47.720001,1
47.43,1
47.150002,1
46.779999,-1
47.150002,1
47.09,-1
47.259998,-1
47.369999,-1
47.43,-1
47.900002,-1
48.459999,-1
48.689999,-1
48.900002,1
48.900002,-1
49.0,1
48.860001,-1
49.080002,-1
49.130001,1
48.880001,1
48.580002,1
48.529999,-1
48.580002,1
48.470001,-1
48.560001,-1
48.610001,1
48.610001,1
48.450001,1
47.919998,1
47.919998,1
47.91,1
47.790001,1
47.68,1
47.259998,1
46.669998,-1
47.029999,1
46.900002,-1
46.919998,1
46.330002,1
46.299999,1
45.73,-1
45.75,-1
45.830002,1
44.91,-1
45.290001,-1
45.490002,1
45.16,1
44.509998,1
43.889999,-1
44.610001,-1
44.639999,1
44.459999,-1
45.220001,-1
45.439999,1
45.049999,1
44.82,1
44.68,1
44.279999,1
43.869999,-1
44.259998,-1
44.82,1
44.799999,1
44.580002,-1
44.639999,-1
44.689999,1
44.400002,1
43.689999,1
42.689999,-1
42.98,1
42.98,1
42.57,1
42.549999,1
42.419998,-1
42.759998,-1
43.099998,-1
43.139999,1
42.790001,1
42.220001,1
41.950001,-1
41.990002,1
40.959999,1
40.939999,-1
41.240002,-1
41.669998,1
41.330002,1
40.650002,1
40.330002,1
39.150002,1
